stabiliId,sourceRecordId,matchStatus,matchMethod,sourceAddress,bbl,bin,hpdBuildingId,canonicalAddress,reasonCodes,candidateHpdBuildingIds
stabili-3bd42fbc-634e-5afa-b48b-af66493aebcd,bronx-2024-p1-r21,ambiguous,manual_review,"483–487 Courtlandt Avenue, Bronx, NY 10451",2023290083,,,"485 Courtlandt Avenue, Bronx, NY 10451",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,58929|806394|806497
stabili-0ab912f2-b76d-5fda-b40d-cda926f832ea,bronx-2024-p2-r40,ambiguous,manual_review,"303 East 158th Street, Bronx, NY 10451",2024180033,,,"303 East 158 Street, Bronx, NY 10451",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,64166|874503|887949
stabili-6052c691-d987-52a1-9f32-2740460840bd,bronx-2024-p2-r42,ambiguous,manual_review,"370 East 158th Street, Bronx, NY 10451",2024040012,,,"370 East 158 Street, Bronx, NY 10451",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,64179|1005822
stabili-0122c847-04e9-51f5-ad41-550a592d03e6,bronx-2024-p3-r24,ambiguous,manual_review,"316 East 162nd Street, Bronx, NY 10451",2024210027,,,"316 East 162 Street, Bronx, NY 10451",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,64504|948177
stabili-e7d23fd2-83c2-5293-818f-d100c0efb6e7,bronx-2024-p3-r27,ambiguous,manual_review,"383 East 162nd Street, Bronx, NY 10451",2024080052,,,"383 East 162 Street, Bronx, NY 10451",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,64515|947425
stabili-d6d23782-ab15-5be3-9ef4-3efc715c68df,bronx-2024-p3-r30,ambiguous,manual_review,"415 East 162nd Street, Bronx, NY 10451",2023840056,,,"415 East 162 Street, Bronx, NY 10451",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,64523|994296
stabili-df7b5c05-19e6-5407-b7a4-e4d04038624d,bronx-2024-p4-r17,ambiguous,manual_review,"260–298 Grand Concourse, Bronx, NY 10451",2023410010,,,"276 Grand Concourse, Bronx, NY 10451",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,81853|1004385
stabili-9bd60f30-0c6a-5762-be54-eccacaf5321e,bronx-2024-p4-r18,ambiguous,manual_review,"310 Grand Concourse, Bronx, NY 10451",2023410028,,,"Grand Concourse, Bronx, NY 10451",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,81925|975400|991160
stabili-5621c419-2cae-5f19-b087-432b25076fba,bronx-2024-p5-r5,ambiguous,manual_review,"3120 Park Avenue, Bronx, NY 10451",2024180006,,,"3120 Park Avenue, Bronx, NY 10451",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,927132|999639
stabili-8c5bc55c-8945-5ec8-9e50-53d8f3c178ff,bronx-2024-p5-r29,ambiguous,manual_review,"1035 Anderson Avenue, Bronx, NY 10452",2025080031,,,"1035 Anderson Avenue, Bronx, NY 10452",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,45411|967660
